oftic,TICKER,CUSIP,CNAME,STATPERS,MEASURE,FPI,MEANEST,STDEV,FPEDATS,ACTUAL,ANNDATS_ACT
PEP,PEP,71344810,PEPSICO INC,2014-01-16,EPS,6,1,0.02,2013-12-31,1.05,2014-02-13
PEP,PEP,71344810,PEPSICO INC,2014-02-20,EPS,6,0.75,0.02,2014-03-31,0.83,2014-04-17
PEP,PEP,71344810,PEPSICO INC,2014-03-20,EPS,6,0.75,0.02,2014-03-31,0.83,2014-04-17
PEP,PEP,71344810,PEPSICO INC,2014-04-17,EPS,6,1.27,0.04,2014-06-30,1.32,2014-07-23
PEP,PEP,71344810,PEPSICO INC,2014-05-15,EPS,6,1.23,0.02,2014-06-30,1.32,2014-07-23
PEP,PEP,71344810,PEPSICO INC,2014-06-19,EPS,6,1.23,0.02,2014-06-30,1.32,2014-07-23
PEP,PEP,71344810,PEPSICO INC,2014-07-17,EPS,6,1.23,0.01,2014-06-30,1.32,2014-07-23
PEP,PEP,71344810,PEPSICO INC,2014-08-14,EPS,6,1.29,0.02,2014-09-30,1.36,2014-10-09
PEP,PEP,71344810,PEPSICO INC,2014-09-18,EPS,6,1.29,0.02,2014-09-30,1.36,2014-10-09
PEP,PEP,71344810,PEPSICO INC,2014-10-16,EPS,6,1.09,0.02,2014-12-31,1.12,2015-02-11
PEP,PEP,71344810,PEPSICO INC,2014-11-20,EPS,6,1.09,0.02,2014-12-31,1.12,2015-02-11
PEP,PEP,71344810,PEPSICO INC,2014-12-18,EPS,6,1.09,0.02,2014-12-31,1.12,2015-02-11
PEP,PEP,71344810,PEPSICO INC,2015-01-15,EPS,6,1.09,0.03,2014-12-31,1.12,2015-02-11
PEP,PEP,71344810,PEPSICO INC,2015-02-19,EPS,6,0.8,0.02,2015-03-31,0.83,2015-04-23
PEP,PEP,71344810,PEPSICO,2015-03-19,EPS,6,0.79,0.03,2015-03-31,0.83,2015-04-23
PEP,PEP,71344810,PEPSICO,2015-04-16,EPS,6,0.79,0.03,2015-03-31,0.83,2015-04-23
PEP,PEP,71344810,PEPSICO,2015-05-14,EPS,6,1.24,0.03,2015-06-30,1.32,2015-07-09
PEP,PEP,71344810,PEPSICO,2015-06-18,EPS,6,1.24,0.03,2015-06-30,1.32,2015-07-09
PEP,PEP,71344810,PEPSICO,2015-07-16,EPS,6,1.28,0.03,2015-09-30,1.35,2015-10-06
PEP,PEP,71344810,PEPSICO,2015-08-20,EPS,6,1.28,0.03,2015-09-30,1.35,2015-10-06
PEP,PEP,71344810,PEPSICO,2015-09-17,EPS,6,1.28,0.03,2015-09-30,1.35,2015-10-06
PEP,PEP,71344810,PEPSICO,2015-10-15,EPS,6,1.06,0.02,2015-12-31,1.06,2016-02-11
PEP,PEP,71344810,PEPSICO,2015-11-19,EPS,6,1.06,0.02,2015-12-31,1.06,2016-02-11
